"","lme_name","lme_number","lme_area","ks_test_pvalue","dip_test","dip_p_value","skew","mean_depth","max_depth","median_depth","center_latitude","region","skew_descriptor","hourglass","deep_dominant","shallow_dominant","mid_dominant","uniform","type","lme_name2"
"41","East Central Australian Shelf",41,63497.5250693049,0,0.0127714805240693,0,1.08472970968104,73.5011655058273,782,57,-29.11724546,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East Central Australian Shelf"
"42","Southeast Australian Shelf",42,213143.097990756,0,0.0102890530627265,0,2.74527667261419,73.3302160748143,1398,59,-40.97642805,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Southeast Australian Shelf"
"43","South West Australian Shelf",43,296790.655992213,0,0.0107925374358236,0,3.2875783136917,72.6070103542277,1107,48,-35.16948789,"Indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","South West Australian Shelf"
"44","West Central Australian Shelf",44,107661.007872211,0,0.0176581103077765,0,1.34021048140725,69.8888600002599,630,47,-27.70193956,"Indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","West Central Australian Shelf"
"45","Northwest Australian Shelf",45,357058.316032916,0,0.0115846884153116,0,1.04768286836958,64.5080324919676,319,56,-16.73905298,"Indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Northwest Australian Shelf"
"46","New Zealand Shelf",46,217782.6457351,0,0.0116616967958833,0,1.69729898554979,102.086347754958,801,95,-40.49191403,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","New Zealand Shelf"
"47","East China Sea",47,571841.350604923,0,0.0130277476058578,0,1.34703927286025,83.5588508239115,967,83,29.55633526,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East China Sea"
"48","Yellow Sea",48,429478.079959338,0,0.0186781103541477,0,0.414049948759409,39.4073085926915,118,33,36.45538274,"Pacific","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Yellow Sea"
"49","Kuroshio Current",49,101917.56736508,0,0.00549746701519791,0,1.31326720119024,90.1983838096973,976,76,30.95066038,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Kuroshio Current"
"50","Sea of Japan",50,572692.417165792,0,0.00444161018114555,0,0.494919587041371,726.128799613606,2000,573,41.26265571,"Pacific","symmetric",FALSE,FALSE,FALSE,TRUE,FALSE,"Mid Dominant","Sea of Japan"
"51","Oyashio Current",51,45231.9681586926,0,0.00571193145682252,0,1.11297766569079,88.2008205901529,579,74,45.19737537,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Oyashio Current"
"52","Sea of Okhotsk",52,702680.905758089,0,0.0267112216576711,0,0.775441988111164,119.534101341014,592,114,53.77056969,"Pacific","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Sea of Okhotsk"
"53","West Bering Sea",53,110732.929497361,0,0.00922649254291014,0,5.54197306209035,84.21477618731,1972,61,57.17113448,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","West Bering Sea"
"54","Northern Bering - Chukchi Seas",54,1079729.13687729,0,0.0151197116759635,0,3.25483518453999,72.4216809035323,842,49,71.1453764,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Northern Bering - Chukchi Seas"
"55","Beaufort Sea",55,586364.911808635,0,0.0135535814999597,0,0.764835906592223,164.271223915104,651,106,72.54560731,"Pacific","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Beaufort Sea"
"56","East Siberian Sea",56,601508.787060638,0,0.0275691954873559,0,2.33440942949607,65.0507727461367,482,38,74.37275627,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East Siberian Sea"
"57","Laptev Sea",57,796047.728107341,0,0.0274040889386659,0,3.3274713840748,47.0157667634986,621,26,76.26650195,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Laptev Sea"
"58","Kara Sea",58,928676.138003179,0,0.0133853999467723,0,1.66655199544972,131.949071203715,829,76,76.93758755,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Kara Sea"
"59","Iceland Shelf and Sea",59,173961.482355043,0,0.00557267740109718,0,0.626095194321461,177.187103883714,1019,165,66.57046427,"Atlantic","mod_skew",FALSE,FALSE,TRUE,TRUE,FALSE,"Shallow Dominant","Iceland Shelf and Sea"
"60","Faroe Plateau",60,36369.4702332188,0,0.00894524081478142,0,0.298024333669875,166.505475978096,461,164,61.48852849,"Atlantic","symmetric",FALSE,FALSE,FALSE,TRUE,FALSE,"Mid Dominant","Faroe Plateau"
"61","Black Sea",62,323507.973903743,0,0.0712281854151345,0,0.415429017960506,758.242087463635,2000,367,43.51120748,"Atlantic","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Black Sea"
"62","Hudson Bay Complex",63,1224507.79729381,0,0.0184337343336887,0,1.64861213762843,107.674216787468,930,101,61.21620242,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Hudson Bay Complex"
"63","Aleutian Islands",65,38276.9269761235,0,0.0163412941190719,0,1.29318689994471,125.303572303573,1458,108,51.93742587,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Aleutian Islands"
"64","Canadian High Arctic - North Greenland",66,478365.987140728,0,0.0110189425152507,0,0.46007921932585,262.828842594306,938,247,80.69860747,"Atlantic","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Canadian High Arctic - North Greenland"
